fabricante,empresa,web,descripcion
"CCTC","Chaozhou Three-Circle (Group) Co., Ltd.","https://cctc.cc","Fabricante de materiales cerámicos avanzados y componentes electrónicos como condensadores MLCC y sustratos."
"FH","Guangdong Fenghua Advanced Technology Holding Co.,Ltd.","https://fhcomp.com","Fabricante especializado en componentes pasivos como resistencias de chip, condensadores, inductores y componentes de protección de circuitos."
"VENKEL","Venkel Ltd.","https://venkel.com","Fabricante especializado en componentes de montaje superficial (SMD) incluyendo resistencias, condensadores, inductores y diodos."
"AISHI","Hunan Aihua Group Co., Ltd.","https://aishi.com","Fabricante líder especializado en el diseño y producción masiva de condensadores electrolíticos de aluminio, polímero y película."
"XFCN","XFCN Connectors Co., Ltd.","http://xfconn.com","Fabricante especializado en el diseño y producción de conectores electrónicos, arneses de cables y portafusibles."
"HCTL","Shenzhen Huacan Tianlu Electronics Co., Ltd.","http://xfconn.com","Fabricante especializado en conectores electrónicos, puertos Type-C, arneses de cables y componentes electromecánicos como interruptores basculantes."
"XINGLIGHT","Shenzhen Chengxing Electronic Technology Co., Ltd.","https://xinglight.cn","Fabricante especializado en el desarrollo y producción de componentes optoelectrónicos, incluyendo diodos LED (SMD, ópticos, UV, automoción) y optoacopladores."
"CJ","Jiangsu Changjing Electronics Technology Co., Ltd.","https://jscj-elec.com","Fabricante especializado en la investigación, desarrollo y producción masiva de semiconductores discretos, diodos, transistores, MOSFETs y circuits integrados de gestión de potencia."
"SXSEMI","Shenzhen Shunxin Technology Co., Ltd.","https://sxsemi.com","Fabricante de semiconductores especializado en componentes de protección de circuitos como diodos de protección ESD, supresores TVS y transistores MOSFET."
"TAI-TECH","TAI-TECH Advanced Electronics Co., Ltd.","https://tai-tech.com.tw","Fabricante especializado en el desarrollo y producción de materiales magnéticos y componentes inductivos como inductores de potencia, filtros EMI y bobinas de choque."
"UMW","Guangdong Youtai Semiconductor Co., Ltd.","https://umw-ic.com","Fabricante de semiconductores especializado en circuitos integrados de gestión de potencia (PMIC), reguladores LDO, MOSFETs, optoacopladores y circuitos lógicos."
"FOJAN","Anhui Fujie Electronic Technology Co., Ltd.","http://fosan.com.cn","Fabricante especializado en el diseño y producción masiva de componentes pasivos como resistencias de chip (thick/thin film), aleaciones y condensadores cerámicos."
"KNSCHA","KNSCHA Electronics Co., Ltd.","https://knscha.com","Fabricante especializado en la investigación y producción de una amplia gama de condensadores, incluyendo electrolíticos de aluminio, supercondensadores (EDLC) y condensadores de película plástica."
"Cixi Kaifeng","Cixi Kaifeng Electronics Co., Ltd.","https://nb-kaifeng.com","Fabricante especializado en soluciones de interconexión, destacando en la producción de bloques de terminales (terminal blocks), interruptores DIP y conectores para circuitos impresos."
"WINPIN","Dongguan Winpin Electronic Technology Co., Ltd.","https://winpin.net","Fabricante especializado en soluciones de interconexión de alta precisión, incluyendo conectores placa a placa (board-to-board), cable a placa, bloques de terminales industriales y arneses."
"HONGFA","Xiamen Hongfa Electroacoustic Co., Ltd.","https://hongfa.com","Fabricante líder mundial especializado en el diseño y producción masiva de relés, contactores, dispositivos de distribución de energía y componentes de automatización industrial."
"HXY MOSFET","Shenzhen HuaXuanYang Electronics Co., Ltd.","https://hxymos.com","Fabricante de semiconductores de potencia especializado en transistores MOSFET (tanto de silicio convencional como de carburo de silicio SiC), diodos, dispositivos de protección ESD/TVS e IGBTs."
"UNI-ROYAL","Uniroyal Electronics Industry Co., Ltd.","https://uni-royal.cn","Fabricante líder de bajo coste especializado en la producción masiva de resistencias de chip (SMD), resistencias de película de carbón y resistencias de cemento de alta disponibilidad."
"CH340 (WCH)","Nanjing Qinheng Microelectronics Co., Ltd.","https://wch-ic.com","Fabricante ultraeconómico especializado en chips de interfaz, famoso por sus microcontroladores (línea CH32V con arquitectura RISC-V) y convertidores USB a Serie (CH340)."
"XLSEMI","Shanghai XLSEMI Electronics Co., Ltd.","http://xlsemi.com","Fabricante de bajo coste especializado en circuitos integrados de conversión de energía, reguladores de voltaje de conmutación (Buck/Boost) y controladores LED de alta eficiencia."
"SLKOR","Shenzhen SlkorMicro Semicon Co., Ltd.","https://slkoric.com","Fabricante especializado en semiconductores de potencia de bajo coste, incluyendo transistores MOSFET, diodos Schottky, reguladores de voltaje LDO y circuitos integrados de gestión de potencia."
"GIGADEVICE","GigaDevice Semiconductor Inc.","https://gigadevice.com","Fabricante líder en Asia de memorias Flash SPI (NOR/NAND) y microcontroladores de bajo coste basados en arquitecturas ARM Cortex y RISC-V (línea GD32)."
"JLGD","Shenzhen Jialiguang Electronics Co., Ltd.","https://jlgdled.com","Fabricante masivo e industrial de bajo coste enfocado en diodos LED de montaje superficial (SMD), indicadores ópticos y pantallas numéricas LED de alta disponibilidad."
"Yajingxin","Shenzhen Yajingxin Electron Co., Ltd.","https://cnyajingxin.com","Fabricante especializado en el diseño y producción de componentes de control de frecuencia, incluyendo cristales de cuarzo, osciladores de cristal y resonadores SMD."
"SCTF","Shenzhen SCTF Electronics Co., Ltd.","http://sctf-crystal.com","Fabricante especializado en soluciones de frecuencia de bajo coste, enfocado en la producción masiva de cristales de cuarzo, osciladores de cristal (SPXO, TCXO) y filtros de cristal."
"SINHOO","Shenzhen Sinhoo Science Technology Development Co., Ltd.","https://www.sinhoost.com","Fabricante especializado en hardware de precisión para montaje superficial (SMD), incluyendo tuercas SMT, terminales de alta corriente, barras colectoras y separadores para circuitos impresos."
